ID,Village,Ethnicity,Religion
TINS01,Tinssagou,Dogon,Musulmane
TINS02,Tinssagou,Dogon,Musulmane
TINS03,Tinssagou,Dogon,Musulmane
TINS04,Tinssagou,Dogon,Musulmane
TINS05,Tinssagou,Dogon,Musulmane
TINS06,Tinssagou,Dogon,Musulmane
TINS07,Tinssagou,Dogon,Musulmane
TINS08,Tinssagou,Dogon,Musulmane
TINS09,Tinssagou,Dogon,Musulmane
TINS10,Tinssagou,Dogon,Musulmane
BODO01,Bodo-Tena,Dogon,Musulmane
BODO02,Bodo-Tena,Dogon,Musulmane
BODO03,Bodo-Tena,Dogon,Musulmane
BODO04,Bodo-Tena,Dogon,Musulmane
BODO05,Bodo-Tena,Dogon,Musulmane
BODO06,Bodo-Tena,Dogon,Musulmane
BODO07,Bodo-Tena,Dogon,Musulmane
BODO08,Bodo-Tena,Dogon,Musulmane
BODO09,Bodo-Tena,Dogon,Musulmane
BODO10,Bodo-Tena,Dogon,Musulmane
KOPO01,Koporo-Na,Dogon,Musulmane
KOPO02,Koporo-Na,Dogon,Musulmane
KOPO03,Koporo-Na,Dogon,Musulmane
KOPO04,Koporo-Na,Dogon,Musulmane
KOPO05,Koporo-Na,Dogon,Musulmane
KOPO06,Koporo-Na,Dogon,Musulmane
KOPO07,Koporo-Na,Dogon,Musulmane
KOPO08,Koporo-Na,Dogon,Musulmane
KOPO09,Koporo-Na,Dogon,Musulmane
KOPO10,Koporo-Na,Dogon,Musulmane
TEME01,Teme-Sagou,Dogon,Musulmane
TEME02,Teme-Sagou,Dogon,Musulmane
TEME03,Teme-Sagou,Dogon,Musulmane
TEME04,Teme-Sagou,Dogon,Musulmane
TEME05,Teme-Sagou,Dogon,Musulmane
TEME06,Teme-Sagou,Dogon,Musulmane
TEME07,Teme-Sagou,Dogon,Musulmane
TEME08,Teme-Sagou,Dogon,Musulmane
TEME09,Teme-Sagou,Dogon,Musulmane
TEME10,Teme-Sagou,Dogon,Musulmane
EGUE01,Eguela,Dogon,Musulmane
EGUE02,Eguela,Dogon,Musulmane
EGUE03,Eguela,Dogon,Musulmane
EGUE04,Eguela,Dogon,Musulmane
EGUE05,Eguela,Dogon,Musulmane
EGUE06,Eguela,Dogon,Musulmane
EGUE07,Eguela,Dogon,Musulmane
EGUE08,Eguela,Dogon,Musulmane
EGUE09,Eguela,Dogon,Musulmane
EGUE10,Eguela,Dogon,Musulmane
PARO01,Parou,Dogon,Musulmane
PARO02,Parou,Dogon,Musulmane
PARO03,Parou,Dogon,Musulmane
PARO04,Parou,Dogon,Musulmane
PARO05,Parou,Dogon,Musulmane
PARO06,Parou,Dogon,Musulmane
PARO07,Parou,Dogon,Musulmane
PARO08,Parou,Dogon,Musulmane
PARO09,Parou,Dogon,Musulmane
PARO10,Parou,Dogon,Musulmane
GARO01,Garou,Dogon,Musulmane
GARO02,Garou,Dogon,Musulmane
GARO03,Garou,Dogon,Musulmane
GARO04,Garou,Dogon,Musulmane
GARO05,Garou,Dogon,Musulmane
GARO06,Garou,Dogon,Musulmane
GARO07,Garou,Dogon,Musulmane
GARO08,Garou,Dogon,Musulmane
GARO09,Garou,Dogon,Musulmane
GARO10,Garou,Dogon,Musulmane
BANK01,Bankass,Dogon,Musulmane
BANK02,Bankass,Dogon,Musulmane
BANK03,Bankass,Dogon,Musulmane
BANK04,Bankass,Dogon,Musulmane
BANK05,Bankass,Dogon,Musulmane
BANK06,Bankass,Dogon,Musulmane
BANK07,Bankass,Dogon,Musulmane
BANK08,Bankass,Dogon,Musulmane
BANK09,Bankass,Dogon,Musulmane
BANK10,Bankass,Dogon,Chrétienne
BANK11,Bankass,Dogon,Musulmane
BANK12,Bankass,Dogon,Musulmane
KOUS01,Koussane,Sarakolé,Musulmane
KOUS02,Koussane,Sarakolé,Musulmane
KOUS03,Koussane,Sarakolé,Musulmane
KOUS04,Koussane,Sarakolé,Musulmane
KOUS05,Koussane,Sarakolé,Musulmane
KOUS06,Koussane,Sarakolé,Musulmane
KOUS07,Koussane,Sarakolé,Musulmane
KOUS08,Koussane,Sarakolé,Musulmane
KOUS09,Koussane,Sarakolé,Musulmane
KOUS10,Koussane,Sarakolé,Musulmane
BILA01,Bilazmir,Maure,Musulmane
BILA02,Bilazmir,Maure,Musulmane
BILA03,Bilazmir,Maure,Musulmane
BILA04,Bilazmir,Maure,Musulmane
BILA05,Bilazmir,Maure,Musulmane
BILA06,Bilazmir,Maure,Musulmane
BILA07,Bilazmir,Maure,Musulmane
HAMO01,Hamon,Maure,Musulmane
HAMO02,Hamon,Maure,Musulmane
HAMO03,Hamon,Maure,Musulmane
HAMO04,Hamon,Maure,Musulmane
HAMO05,Hamon,Maure,Musulmane
HAMO06,Hamon,Maure,Musulmane
HAMO07,Hamon,Maure,Musulmane
YILL01,Yille,Maure,Musulmane
YILL02,Yille,Maure,Musulmane
YILL03,Yille,Maure,Musulmane
YILL04,Yille,Maure,Musulmane
YILL05,Yille,Maure,Musulmane
YILL06,Yille,Maure,Musulmane
SANG01,Sangalou,Sarakolé,Musulmane
SANG02,Sangalou,Sarakolé,Musulmane
SANG03,Sangalou,Sarakolé,Musulmane
SANG04,Sangalou,Sarakolé,Musulmane
SANG05,Sangalou,Sarakolé,Musulmane
SANG06,Sangalou,Sarakolé,Musulmane
SANG07,Sangalou,Sarakolé,Musulmane
SANG08,Sangalou,Sarakolé,Musulmane
SANG09,Sangalou,Sarakolé,Musulmane
SANG10,Sangalou,Sarakolé,Musulmane
GOUT01,Goutioube,Sarakolé,Musulmane
GOUT02,Goutioube,Sarakolé,Musulmane
GOUT03,Goutioube,Sarakolé,Musulmane
GOUT04,Goutioube,Sarakolé,Musulmane
GOUT05,Goutioube,Sarakolé,Musulmane
SEBO01,Sebou,Sarakolé,Musulmane
SEBO02,Sebou,Sarakolé,Musulmane
SEBO03,Sebou,Sarakolé,Musulmane
SEBO04,Sebou,Sarakolé,Musulmane
SEBO05,Sebou,Sarakolé,Musulmane
TAFA01,Tafacirga,Sarakolé,Musulmane
TAFA02,Tafacirga,Sarakolé,Musulmane
TAFA03,Tafacirga,Sarakolé,Musulmane
TAFA04,Tafacirga,Sarakolé,Musulmane
TAFA05,Tafacirga,Sarakolé,Musulmane
GOUD01,Goudiam,Sarakolé,Musulmane
GOUD02,Goudiam,Sarakolé,Musulmane
GOUD03,Goudiam,Sarakolé,Musulmane
GOUD04,Goudiam,Sarakolé,Musulmane
GOUD05,Goudiam,Sarakolé,Musulmane
KOTE01,Kotera,Sarakolé,Musulmane
KOTE02,Kotera,Sarakolé,Musulmane
KOTE03,Kotera,Sarakolé,Musulmane
KOTE04,Kotera,Sarakolé,Musulmane
KOTE05,Kotera,Sarakolé,Musulmane
SEGA01,Segala,Sarakolé,Musulmane
SEGA02,Segala,Sarakolé,Musulmane
SEGA03,Segala,Sarakolé,Musulmane
SEGA04,Segala,Sarakolé,Musulmane
SEGA05,Segala,Sarakolé,Musulmane
