Number,Plant name,Status,Taxon_name_accepted,Authors_accepted,IPNI_accepted,Binomial_clean_accepted,Origine,Cultivated_2015_Mali,Codes_Origine
1,Acacia ehrenbergiana,Synonym,Vachellia flava,(Forssk.) Kyal. & Boatwr.,77131715-1,Vachellia flava,Locale,0,1
2,Acacia nilotica,Synonym,Vachellia nilotica,(L.) P.J.H.Hurter & Mabb.,77089275-1,Vachellia nilotica,Locale,1,1
3,Acacia senegal,Synonym,Senegalia senegal,(L.) Britton,518304-1,Senegalia senegal,Locale,0,1
4,Acacia seyal,Synonym,Vachellia seyal,(Delile) P.J.H.Hurter,77089276-1,Vachellia seyal,Locale,1,1
5,Acacia sieberiana,Synonym,Vachellia sieberiana,(DC.) Kyal. & Boatwr.,77131781-1,Vachellia sieberiana,Locale,0,1
6,Acacia tortilis,Synonym,Vachellia tortilis,(Forssk.) Galasso & Banfi,77087190-1,Vachellia tortilis,Locale,0,1
7,Acridocarpus monodii,Accepted,Acridocarpus monodii,Arènes & P.Jaeger ex Birnbaum & J.Florence,77071317-1,Acridocarpus monodii,Locale,0,1
8,Adansonia digitata,Accepted,Adansonia digitata,L.,558628-1,Adansonia digitata,Locale,1,1
9,Anacardium occidentale,Accepted,Anacardium occidentale,L.,319068-2,Anacardium occidentale,Exotique fruitière,1,2
10,Argemone mexicana,Accepted,Argemone mexicana,L.,18816-2,Argemone mexicana,Locale,0,1
11,Annona senegalensis,Accepted,Annona senegalensis,Pers.,72309-1,Annona senegalensis,Locale,0,1
12,Anogeissus leiocarpa,Synonym,Terminalia leiocarpa,(DC.) Baill.,171202-1,Terminalia leiocarpa,Locale,0,1
13,Azadirachta indica,Accepted,Azadirachta indica,A.Juss.,1213180-2,Azadirachta indica,Exotique fruitière,1,2
14,Balanites aegyptiaca,Accepted,Balanites aegyptiaca,(L.) Delile,813589-1,Balanites aegyptiaca,Locale,1,1
15,Bauhinia rufescens,Accepted,Bauhinia rufescens,Lam.,481643-1,Bauhinia rufescens,Locale,0,1
16,Bombax costatum,Accepted,Bombax costatum,Pellegr. & Vuillet,112254-1,Bombax costatum,Locale,0,1
17,Borassus akeassii,Accepted,Borassus akeassii,"Bayton, Ouédr. & Guinko",77075289-1,Borassus akeassii,Locale,1,1
18,Boscia senegalensis,Accepted,Boscia senegalensis,Lam.,146142-1,Boscia senegalensis,Locale,0,1
19,Cassia sieberiana,Accepted,Cassia sieberiana,DC.,485224-1,Cassia sieberiana,Locale,0,1
20,Ceiba pentandra,Accepted,Ceiba pentandra,(L.) Gaertn.,1166232-2,Ceiba pentandra,Locale,1,1
