"Village","Ethnicity","Latitude","Longitude"
"Koussané","Sarakolé",14.8842333333333,-11.2286166666667
"Bilazmir","Maure",15.0103666666667,-11.24925
"Hamon","Maure",15.0753833333333,-11.2679833333333
"Yillé","Maure",15.1413166666667,-11.2003
"Sangalou","Sarakolé",14.7203166666667,-12.2079
"Goutioube","Sarakolé",14.7574166666667,-12.2287333333333
"Sébou","Sarakolé",14.6883833333333,-12.1692833333333
"Tafacirga","Sarakolé",14.7580666666667,-12.19165
"Goudiam","Sarakolé",14.6624166666667,-12.1651
"Kotéra","Sarakolé",14.7596666666667,-12.1761666666667
"Segala","Sarakolé",14.7620333333333,-12.1256666666667
"Endé","Dogon",14.17396,-3.25874
"Bagourou","Dogon",14.19706,-3.5068
"Dimbal","Dogon",14.00254,-3.6145
"Bankass","Dogon",14.07656,-3.53304
"Tinsagou","Dogon",13.88471,-3.38793
"Bodo-Tena","Dogon",13.85231,-3.37255
"Parou","Dogon",14.18941,-3.74984
"Garou","Dogon",14.01742,-3.74119
"Eguela","Dogon",14.20821,-3.69721
"Koporo-Na","Dogon",14.13044,-3.35364
"Temegoro","Dogon",14.13968,-3.26158
"Temegoro-Sagou","Dogon",14.06935,-3.31213
